Rank,Song,Artist,Year
1,White Christmas,Bing Crosby,1942.0
2,Hey Jude,The Beatles,1968.0
3,Every Breath You Take,The Police,1983.0
4,Mack the Knife,Bobby Darin,1959.0
5,Rock Around the Clock,Bill Haley & his Comets,1955.0
6,I Want to Hold Your Hand,The Beatles,1964.0
7,(I Can't Get No) Satisfaction,The Rolling Stones,1965.0
8,The Twist,Chubby Checker,1960.0
9,(Everything I Do) I Do it For You,Bryan Adams,1991.0
10,Bridge Over Troubled Water,Simon & Garfunkel,1970.0
11,When Doves Cry,Prince,1984.0
12,Call Me,Blondie,1980.0
13,Bette Davis Eyes,Kim Carnes,1981.0
14,I Will Always Love You,Whitney Houston,1993.0
15,Over the Rainbow,Judy Garland,1939.0
16,American Pie,Don McLean,1972.0
17,Flashdance... What a Feeling,Irene Cara,1983.0
18,The Way We Were,Barbra Streisand,1974.0
19,I Heard it Through the Grapevine,Marvin Gaye,1969.0
20,You've Lost That Lovin' Feelin',The Righteous Brothers,1965.0
21,Nothing Compares 2 U,Sinead O'Connor,1990.0
22,Endless Love,Diana Ross & Lionel Richie,1981.0
23,Yeah!,Usher,2004.0
24,Let's Get it On,Marvin Gaye,1973.0
25,That's What Friends Are For,Dionne Warwick & Friends,1986.0
26,You Light Up My Life,Debbie Boone,1977.0
27,(Sittin' On) the Dock of the Bay,Otis Redding,1968.0
28,Joy to the World,Three Dog Night,1971.0
29,Heartbreak Hotel,Elvis Presley,1956.0
30,Theme From 'A Summer Place',Percy Faith,1960.0
31,Aquarius/Let The Sunshine In,Fifth Dimension,1969.0
32,I Will Survive,Gloria Gaynor,1979.0
33,It's Too Late,Carole King,1971.0
34,Respect,Aretha Franklin,1967.0
35,Sugar Sugar,Archies,1969.0
36,Stayin' Alive,Bee Gees,1978.0
37,Maggie May,Rod Stewart,1971.0
38,My Heart Will Go On,Celine Dion,1998.0
39,Eye of the Tiger,Survivor,1982.0
40,End of the Road,Boyz II Men,1992.0
41,Another One Bites the Dust,Queen,1980.0
42,Billie Jean,Michael Jackson,1983.0
43,Let's Stay Together,Al Green,1972.0
44,Battle of New Orleans,Johnny Horton,1959.0
45,"Oh, Pretty Woman",Roy Orbison,1964.0
46,Hound Dog,Elvis Presley,1956.0
47,I Love Rock 'n' Roll,Joan Jett & The Blackhearts,1982.0
48,Smooth,Rob Thomas & Santana,1999.0
49,Good Vibrations,The Beach Boys,1966.0
50,Physical,Olivia Newton-John,1981.0
51,Light My Fire,The Doors,1967.0
52,Low,Flo-Rida & T-Pain,2008.0
53,Hey Ya!,OutKast,2003.0
54,Let it Be,The Beatles,1970.0
55,Don't Be Cruel,Elvis Presley,1956.0
56,Hotel California,Eagles,1977.0
57,We Belong Together,Mariah Carey,2005.0
58,Le Freak,Chic,1979.0
59,Raindrops Keep Falling On My Head,B J Thomas,1970.0
60,How High the Moon,Les Paul & Mary Ford,1951.0
61,My Girl,The Temptations,1965.0
62,I Can't Stop Loving You,Ray Charles,1962.0
63,Killing Me Softly With His Song,Roberta Flack,1973.0
64,Mona Lisa,Nat King Cole,1950.0
65,In the Mood,Glenn Miller,1940.0
66,She Loves You,The Beatles,1964.0
67,The Letter,The Box Tops,1967.0
68,Mister Sandman,The Chordettes,1954.0
69,Careless Whisper,George Michael,1985.0
70,What's Love Got to Do With It?,Tina Turner,1984.0
71,I'm a Believer,The Monkees,1967.0
72,Wooly Bully,"Sam The Sham & The
Pharaohs",1965.0
73,Theme From 'Shaft',Isaac Hayes,1971.0
74,Hot Stuff,Donna Summer,1979.0
75,Centerfold,J Geils Band,1982.0
76,Honky Tonk Woman,The Rolling Stones,1969.0
77,I'll Be There,The Jackson 5,1970.0
78,Gangsta's Paradise,Coolio,1995.0
79,Yesterday,The Beatles,1965.0
