Rank,Song,Artist,Year,Concatenated,Concatenated_no_rank,song_artist
1,White Christmas,Bing Crosby,1942,1 White Christmas Bing Crosby 1942,White Christmas Bing Crosby 1942,White Christmas Bing Crosby 
2,Hey Jude,The Beatles,1968,2 Hey Jude The Beatles 1968,Hey Jude The Beatles 1968,Hey Jude The Beatles 
3,Every Breath You Take,The Police,1983,3 Every Breath You Take The Police 1983,Every Breath You Take The Police 1983,Every Breath You Take The Police 
4,Mack the Knife,Bobby Darin,1959,4 Mack the Knife Bobby Darin 1959,Mack the Knife Bobby Darin 1959,Mack the Knife Bobby Darin 
5,Rock Around the Clock,Bill Haley & his Comets,1955,5 Rock Around the Clock Bill Haley & his Comets 1955,Rock Around the Clock Bill Haley & his Comets 1955,Rock Around the Clock Bill Haley & his Comets 
6,I Want to Hold Your Hand,The Beatles,1964,6 I Want to Hold Your Hand The Beatles 1964,I Want to Hold Your Hand The Beatles 1964,I Want to Hold Your Hand The Beatles 
7,(I Can't Get No) Satisfaction,The Rolling Stones,1965,7 (I Can't Get No) Satisfaction The Rolling Stones 1965,(I Can't Get No) Satisfaction The Rolling Stones 1965,(I Can't Get No) Satisfaction The Rolling Stones 
8,The Twist,Chubby Checker,1960,8 The Twist Chubby Checker 1960,The Twist Chubby Checker 1960,The Twist Chubby Checker 
9,(Everything I Do) I Do it For You,Bryan Adams,1991,9 (Everything I Do) I Do it For You Bryan Adams 1991,(Everything I Do) I Do it For You Bryan Adams 1991,(Everything I Do) I Do it For You Bryan Adams 
10,Bridge Over Troubled Water,Simon & Garfunkel,1970,10 Bridge Over Troubled Water Simon & Garfunkel 1970,Bridge Over Troubled Water Simon & Garfunkel 1970,Bridge Over Troubled Water Simon & Garfunkel 
11,When Doves Cry,Prince,1984,11 When Doves Cry Prince 1984,When Doves Cry Prince 1984,When Doves Cry Prince 
12,Call Me,Blondie,1980,12 Call Me Blondie 1980,Call Me Blondie 1980,Call Me Blondie 
13,Bette Davis Eyes,Kim Carnes,1981,13 Bette Davis Eyes Kim Carnes 1981,Bette Davis Eyes Kim Carnes 1981,Bette Davis Eyes Kim Carnes 
14,I Will Always Love You,Whitney Houston,1993,14 I Will Always Love You Whitney Houston 1993,I Will Always Love You Whitney Houston 1993,I Will Always Love You Whitney Houston 
15,Over the Rainbow,Judy Garland,1939,15 Over the Rainbow Judy Garland 1939,Over the Rainbow Judy Garland 1939,Over the Rainbow Judy Garland 
16,American Pie,Don McLean,1972,16 American Pie Don McLean 1972,American Pie Don McLean 1972,American Pie Don McLean 
17,Flashdance... What a Feeling,Irene Cara,1983,17 Flashdance... What a Feeling Irene Cara 1983,Flashdance... What a Feeling Irene Cara 1983,Flashdance... What a Feeling Irene Cara 
18,The Way We Were,Barbra Streisand,1974,18 The Way We Were Barbra Streisand 1974,The Way We Were Barbra Streisand 1974,The Way We Were Barbra Streisand 
19,I Heard it Through the Grapevine,Marvin Gaye,1969,19 I Heard it Through the Grapevine Marvin Gaye 1969,I Heard it Through the Grapevine Marvin Gaye 1969,I Heard it Through the Grapevine Marvin Gaye 
20,You've Lost That Lovin' Feelin',The Righteous Brothers,1965,20 You've Lost That Lovin' Feelin' The Righteous Brothers 1965,You've Lost That Lovin' Feelin' The Righteous Brothers 1965,You've Lost That Lovin' Feelin' The Righteous Brothers 
21,Nothing Compares 2 U,Sinead O'Connor,1990,21 Nothing Compares 2 U Sinead O'Connor 1990,Nothing Compares 2 U Sinead O'Connor 1990,Nothing Compares 2 U Sinead O'Connor 
22,Endless Love,Diana Ross & Lionel Richie,1981,22 Endless Love Diana Ross & Lionel Richie 1981,Endless Love Diana Ross & Lionel Richie 1981,Endless Love Diana Ross & Lionel Richie 
23,Yeah!,Usher,2004,23 Yeah! Usher 2004,Yeah! Usher 2004,Yeah! Usher 
24,Let's Get it On,Marvin Gaye,1973,24 Let's Get it On Marvin Gaye 1973,Let's Get it On Marvin Gaye 1973,Let's Get it On Marvin Gaye 
25,That's What Friends Are For,Dionne Warwick & Friends,1986,25 That's What Friends Are For Dionne Warwick & Friends 1986,That's What Friends Are For Dionne Warwick & Friends 1986,That's What Friends Are For Dionne Warwick & Friends 
26,You Light Up My Life,Debbie Boone,1977,26 You Light Up My Life Debbie Boone 1977,You Light Up My Life Debbie Boone 1977,You Light Up My Life Debbie Boone 
27,(Sittin' On) the Dock of the Bay,Otis Redding,1968,27 (Sittin' On) the Dock of the Bay Otis Redding 1968,(Sittin' On) the Dock of the Bay Otis Redding 1968,(Sittin' On) the Dock of the Bay Otis Redding 
28,Joy to the World,Three Dog Night,1971,28 Joy to the World Three Dog Night 1971,Joy to the World Three Dog Night 1971,Joy to the World Three Dog Night 
29,Heartbreak Hotel,Elvis Presley,1956,29 Heartbreak Hotel Elvis Presley 1956,Heartbreak Hotel Elvis Presley 1956,Heartbreak Hotel Elvis Presley 
30,Theme From 'A Summer Place',Percy Faith,1960,30 Theme From 'A Summer Place' Percy Faith 1960,Theme From 'A Summer Place' Percy Faith 1960,Theme From 'A Summer Place' Percy Faith 
31,Aquarius/Let The Sunshine In,Fifth Dimension,1969,31 Aquarius/Let The Sunshine In Fifth Dimension 1969,Aquarius/Let The Sunshine In Fifth Dimension 1969,Aquarius/Let The Sunshine In Fifth Dimension 
32,I Will Survive,Gloria Gaynor,1979,32 I Will Survive Gloria Gaynor 1979,I Will Survive Gloria Gaynor 1979,I Will Survive Gloria Gaynor 
33,It's Too Late,Carole King,1971,33 It's Too Late Carole King 1971,It's Too Late Carole King 1971,It's Too Late Carole King 
34,Respect,Aretha Franklin,1967,34 Respect Aretha Franklin 1967,Respect Aretha Franklin 1967,Respect Aretha Franklin 
35,Sugar Sugar,Archies,1969,35 Sugar Sugar Archies 1969,Sugar Sugar Archies 1969,Sugar Sugar Archies 
36,Stayin' Alive,Bee Gees,1978,36 Stayin' Alive Bee Gees 1978,Stayin' Alive Bee Gees 1978,Stayin' Alive Bee Gees 
37,Maggie May,Rod Stewart,1971,37 Maggie May Rod Stewart 1971,Maggie May Rod Stewart 1971,Maggie May Rod Stewart 
38,My Heart Will Go On,Celine Dion,1998,38 My Heart Will Go On Celine Dion 1998,My Heart Will Go On Celine Dion 1998,My Heart Will Go On Celine Dion 
39,Eye of the Tiger,Survivor,1982,39 Eye of the Tiger Survivor 1982,Eye of the Tiger Survivor 1982,Eye of the Tiger Survivor 
40,End of the Road,Boyz II Men,1992,40 End of the Road Boyz II Men 1992,End of the Road Boyz II Men 1992,End of the Road Boyz II Men 
41,Another One Bites the Dust,Queen,1980,41 Another One Bites the Dust Queen 1980,Another One Bites the Dust Queen 1980,Another One Bites the Dust Queen 
42,Billie Jean,Michael Jackson,1983,42 Billie Jean Michael Jackson 1983,Billie Jean Michael Jackson 1983,Billie Jean Michael Jackson 
43,Let's Stay Together,Al Green,1972,43 Let's Stay Together Al Green 1972,Let's Stay Together Al Green 1972,Let's Stay Together Al Green 
44,Battle of New Orleans,Johnny Horton,1959,44 Battle of New Orleans Johnny Horton 1959,Battle of New Orleans Johnny Horton 1959,Battle of New Orleans Johnny Horton 
45,"Oh, Pretty Woman",Roy Orbison,1964,"45 Oh, Pretty Woman Roy Orbison 1964","Oh, Pretty Woman Roy Orbison 1964","Oh, Pretty Woman Roy Orbison "
46,Hound Dog,Elvis Presley,1956,46 Hound Dog Elvis Presley 1956,Hound Dog Elvis Presley 1956,Hound Dog Elvis Presley 
47,I Love Rock 'n' Roll,Joan Jett & The Blackhearts,1982,47 I Love Rock 'n' Roll Joan Jett & The Blackhearts 1982,I Love Rock 'n' Roll Joan Jett & The Blackhearts 1982,I Love Rock 'n' Roll Joan Jett & The Blackhearts 
48,Smooth,Rob Thomas & Santana,1999,48 Smooth Rob Thomas & Santana 1999,Smooth Rob Thomas & Santana 1999,Smooth Rob Thomas & Santana 
49,Good Vibrations,The Beach Boys,1966,49 Good Vibrations The Beach Boys 1966,Good Vibrations The Beach Boys 1966,Good Vibrations The Beach Boys 
50,Physical,Olivia Newton-John,1981,50 Physical Olivia Newton-John 1981,Physical Olivia Newton-John 1981,Physical Olivia Newton-John 
51,Light My Fire,The Doors,1967,51 Light My Fire The Doors 1967,Light My Fire The Doors 1967,Light My Fire The Doors 
52,Low,Flo-Rida & T-Pain,2008,52 Low Flo-Rida & T-Pain 2008,Low Flo-Rida & T-Pain 2008,Low Flo-Rida & T-Pain 
53,Hey Ya!,OutKast,2003,53 Hey Ya! OutKast 2003,Hey Ya! OutKast 2003,Hey Ya! OutKast 
54,Let it Be,The Beatles,1970,54 Let it Be The Beatles 1970,Let it Be The Beatles 1970,Let it Be The Beatles 
55,Don't Be Cruel,Elvis Presley,1956,55 Don't Be Cruel Elvis Presley 1956,Don't Be Cruel Elvis Presley 1956,Don't Be Cruel Elvis Presley 
56,Hotel California,Eagles,1977,56 Hotel California Eagles 1977,Hotel California Eagles 1977,Hotel California Eagles 
57,We Belong Together,Mariah Carey,2005,57 We Belong Together Mariah Carey 2005,We Belong Together Mariah Carey 2005,We Belong Together Mariah Carey 
58,Le Freak,Chic,1979,58 Le Freak Chic 1979,Le Freak Chic 1979,Le Freak Chic 
59,Raindrops Keep Falling On My Head,B J Thomas,1970,59 Raindrops Keep Falling On My Head B J Thomas 1970,Raindrops Keep Falling On My Head B J Thomas 1970,Raindrops Keep Falling On My Head B J Thomas 
60,How High the Moon,Les Paul & Mary Ford,1951,60 How High the Moon Les Paul & Mary Ford 1951,How High the Moon Les Paul & Mary Ford 1951,How High the Moon Les Paul & Mary Ford 
61,My Girl,The Temptations,1965,61 My Girl The Temptations 1965,My Girl The Temptations 1965,My Girl The Temptations 
62,I Can't Stop Loving You,Ray Charles,1962,62 I Can't Stop Loving You Ray Charles 1962,I Can't Stop Loving You Ray Charles 1962,I Can't Stop Loving You Ray Charles 
63,Killing Me Softly With His Song,Roberta Flack,1973,63 Killing Me Softly With His Song Roberta Flack 1973,Killing Me Softly With His Song Roberta Flack 1973,Killing Me Softly With His Song Roberta Flack 
64,Mona Lisa,Nat King Cole,1950,64 Mona Lisa Nat King Cole 1950,Mona Lisa Nat King Cole 1950,Mona Lisa Nat King Cole 
65,In the Mood,Glenn Miller,1940,65 In the Mood Glenn Miller 1940,In the Mood Glenn Miller 1940,In the Mood Glenn Miller 
